ID	NOGNA-2M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-KL_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-2M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-HL_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-MN_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-OP_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-QR_samtools_idxstats_miRNA_counts.txt	NOGNA-6M-ST_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-AB_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-CD_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-EF_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-GH_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-IJ_samtools_idxstats_miRNA_counts.txt	NOGNA-12M-KL_samtools_idxstats_miRNA_counts.txt
mmu-miR-7077-5p	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7078-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-7078-5p	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	1
mmu-miR-7079-3p	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	0	0
mmu-miR-7079-5p	15	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
mmu-miR-708-3p	252	264	389	288	550	481	773	315	526	676	265	484	433	704	863	633	630	348
mmu-miR-708-5p	2574	2519	1948	3212	4028	3715	6435	2602	2407	3312	2613	3911	3260	5697	5410	3958	4215	2377
mmu-miR-7080-3p	0	8	0	7	15	21	10	21	1	10	0	19	34	12	34	36	30	12
mmu-miR-7080-5p	76	25	63	28	74	81	72	65	68	0	51	27	25	93	82	20	101	61
mmu-miR-7081-3p	0	0	0	0	0	0	4	0	0	0	0	8	5	6	0	7	2	1
mmu-miR-7081-5p	0	0	0	0	21	0	0	0	0	0	0	0	4	1	6	2	2	5
mmu-miR-7082-3p	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	2
mmu-miR-7082-5p	0	0	0	0	0	0	2	0	0	0	0	0	3	0	7	1	0	4
mmu-miR-7083-3p	0	0	0	36	0	0	0	1	0	0	0	0	0	0	7	0	0	1
mmu-miR-7083-5p	0	0	0	0	0	0	1	16	0	0	0	0	13	7	5	7	0	6
mmu-miR-7084-3p	0	0	0	0	12	0	0	0	1	0	0	0	0	0	3	0	7	0
mmu-miR-7084-5p	10	0	0	0	0	0	5	0	0	0	0	0	3	0	1	0	2	0
mmu-miR-7085-3p	0	0	0	0	0	0	1	0	0	0	0	0	2	1	5	7	6	5
mmu-miR-7085-5p	0	20	0	0	0	0	6	0	0	16	0	1	0	2	4	13	4	9
mmu-miR-7086-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7086-5p	0	0	0	37	5	0	13	0	0	0	0	10	0	8	8	0	3	4
mmu-miR-7087-3p	510	741	631	333	792	443	1198	393	470	695	502	678	637	1051	935	810	1003	616
mmu-miR-7087-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	3	0	1
mmu-miR-7088-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7088-5p	0	0	0	0	8	4	8	0	18	39	0	9	0	7	26	6	10	8
mmu-miR-7089-3p	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	1	0
mmu-miR-7089-5p	17	0	0	32	0	0	6	0	0	0	9	0	0	0	0	0	0	0
mmu-miR-709	63	115	27	29	197	87	108	16	69	55	125	48	78	74	105	164	87	73
mmu-miR-7090-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7090-5p	0	0	0	0	0	0	3	13	0	0	0	6	0	0	0	4	0	5
mmu-miR-7091-3p	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-7091-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7092-3p	0	0	0	0	0	1	2	0	1	0	1	0	6	1	4	0	0	0
mmu-miR-7092-5p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7093-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	2
mmu-miR-7093-5p	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7094-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7094-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7094b-2-5p	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
mmu-miR-710	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	5	0	0
mmu-miR-711	0	0	35	30	16	0	14	0	18	0	24	17	2	13	1	0	2	10
mmu-miR-7115-3p	0	24	34	0	16	0	7	0	0	0	0	0	4	4	3	6	4	1
mmu-miR-7115-5p	36	70	0	14	71	34	86	32	42	58	26	107	98	95	87	62	55	45
mmu-miR-7116-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	4	0
mmu-miR-7116-5p	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	1	0
mmu-miR-7117-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	2	1
mmu-miR-7117-5p	13	0	0	0	6	12	9	8	13	0	0	0	2	9	8	5	2	3
mmu-miR-7118-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	4	1	1
mmu-miR-7118-5p	0	0	0	0	0	0	1	0	0	0	0	1	3	6	9	2	1	5
mmu-miR-7119-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7119-5p	0	37	0	0	0	16	4	0	0	0	0	0	0	1	4	4	0	0
mmu-miR-712-3p	0	0	0	0	19	0	6	0	0	0	0	0	0	4	2	0	0	1
mmu-miR-712-5p	0	0	9	0	0	34	3	0	0	0	13	22	15	11	3	7	7	0
mmu-miR-713	0	11	0	0	0	0	5	8	0	0	0	0	0	6	4	0	0	3
mmu-miR-714	0	0	0	0	0	8	1	0	0	1	0	5	8	12	0	0	5	3
mmu-miR-717	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	4	0	0
mmu-miR-718	0	0	0	9	25	0	121	13	0	0	0	29	14	17	19	7	11	10
mmu-miR-719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
mmu-miR-721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1
mmu-miR-7210-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7210-5p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
mmu-miR-7211-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-7211-5p	0	8	19	0	12	5	1	0	0	0	0	0	5	0	2	0	0	0
mmu-miR-7212-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7212-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	4
mmu-miR-7213-3p	0	0	0	0	0	0	5	0	0	0	0	0	5	2	1	0	0	0
mmu-miR-7213-5p	15	29	0	0	0	8	5	0	0	0	0	18	4	8	15	4	12	3
mmu-miR-7214-3p	9	0	0	0	0	0	5	9	0	0	0	0	0	0	1	0	1	0
mmu-miR-7214-5p	9	0	0	0	0	0	0	0	0	22	0	0	2	0	3	0	1	0
mmu-miR-7215-3p	0	0	0	0	0	0	3	0	0	14	25	0	0	2	3	4	6	0
mmu-miR-7215-5p	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
mmu-miR-7216-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7216-5p	0	22	0	0	2	0	1	12	1	0	0	30	13	9	4	12	2	1
mmu-miR-7217-3p	7	27	0	0	1	19	11	40	9	0	0	0	21	9	11	10	10	4
mmu-miR-7217-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
mmu-miR-7218-3p	0	0	0	0	0	4	0	0	0	0	0	5	0	4	0	5	0	5
mmu-miR-7218-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7219-3p	0	0	0	13	3	0	0	0	0	0	0	0	0	0	0	9	0	0
mmu-miR-7219-5p	0	0	0	0	6	0	0	0	0	0	16	0	6	0	0	0	2	0
mmu-miR-7220-3p	0	0	0	0	0	12	22	0	0	0	18	0	12	0	13	0	3	2
mmu-miR-7220-5p	0	0	0	0	4	8	23	0	0	0	0	36	3	12	4	15	12	17
mmu-miR-7221-3p	0	0	0	0	0	1	3	0	0	0	0	0	0	0	2	1	0	0
mmu-miR-7221-5p	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0
mmu-miR-7222-3p	0	0	0	17	0	0	0	0	0	0	0	0	6	0	5	0	3	1
mmu-miR-7222-5p	0	0	1	0	7	0	1	17	0	0	0	0	8	3	2	6	3	0
mmu-miR-7223-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7223-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-7224-3p	0	9	0	0	0	0	14	11	5	0	0	0	0	5	4	0	10	1
mmu-miR-7224-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7225-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7225-5p	0	0	0	0	8	33	2	0	0	0	0	0	0	0	0	0	4	2
mmu-miR-7226-3p	0	0	0	0	0	8	3	6	12	0	0	3	0	2	2	8	8	7
mmu-miR-7226-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
mmu-miR-7227-3p	0	0	0	0	0	0	1	0	0	0	0	13	0	3	0	0	0	1
mmu-miR-7227-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7228-3p	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0
mmu-miR-7228-5p	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
mmu-miR-7229-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-7229-5p	0	0	0	0	12	0	1	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-7230-3p	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7230-5p	0	0	0	0	0	0	0	0	0	1	0	1	4	3	2	3	0	4
mmu-miR-7231-3p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1
mmu-miR-7231-5p	0	0	0	0	0	12	1	0	0	0	0	0	0	0	9	5	6	4
mmu-miR-7232-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0
mmu-miR-7232-5p	0	0	0	0	0	0	3	11	0	0	0	0	0	0	0	0	0	0
mmu-miR-7233-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7233-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7234-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7234-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7235-3p	0	0	0	0	11	0	5	0	0	0	0	0	0	15	16	19	1	8
mmu-miR-7235-5p	0	19	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7236-3p	16	11	0	0	11	6	12	0	0	0	0	5	0	1	1	3	0	0
mmu-miR-7236-5p	0	0	0	0	15	13	0	0	17	0	0	0	11	7	5	1	1	5
mmu-miR-7237-3p	0	0	0	0	0	0	5	0	0	0	0	0	11	7	2	1	3	5
mmu-miR-7237-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7238-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7238-5p	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7239-3p	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	6	4
mmu-miR-7239-5p	0	0	0	0	0	0	0	0	0	47	0	0	0	4	0	1	3	1
mmu-miR-7240-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2
mmu-miR-7240-5p	0	1	0	0	0	23	6	0	0	0	0	0	1	0	2	0	0	1
mmu-miR-7241-3p	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
mmu-miR-7241-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7242-3p	0	1	0	0	1	0	0	0	0	14	0	0	0	0	0	4	0	0
mmu-miR-7242-5p	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	5	0
mmu-miR-7243-3p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7243-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-741-3p	6	6	0	0	0	3	5	0	0	0	0	17	0	2	6	0	5	0
mmu-miR-741-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-742-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
mmu-miR-742-5p	0	0	0	0	0	22	0	18	0	0	0	0	0	0	0	0	0	0
mmu-miR-743a-3p	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	0	0
mmu-miR-743a-5p	0	0	0	0	0	0	3	7	0	1	0	0	0	0	0	1	4	0
mmu-miR-743b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
mmu-miR-743b-5p	0	0	0	0	0	0	0	0	16	0	0	0	0	0	2	0	0	0
mmu-miR-744-3p	85	78	23	0	95	54	65	17	0	119	29	49	119	149	135	99	43	27
mmu-miR-744-5p	1363	1682	1279	1195	1819	1905	1246	1347	1432	1559	1565	1575	1169	1476	1432	1314	1423	1103
mmu-miR-7578	0	25	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	9
mmu-miR-758-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1
mmu-miR-759	0	0	0	0	0	0	2	0	0	0	27	0	0	1	1	4	1	0
mmu-miR-760-3p	0	0	27	0	9	32	10	0	51	0	0	23	24	13	12	22	30	6
mmu-miR-760-5p	17	25	31	0	20	25	0	0	0	19	26	18	9	14	19	13	5	3
mmu-miR-761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
mmu-miR-762	1	5	0	1	18	7	19	29	0	1	0	0	3	3	11	11	2	0
mmu-miR-763	0	0	0	0	0	0	10	0	0	0	0	0	0	0	8	0	0	0
mmu-miR-764-3p	0	0	0	58	0	17	0	0	0	0	0	0	0	0	0	2	1	0
mmu-miR-764-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
mmu-miR-7646-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-7646-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0
mmu-miR-7647-3p	0	0	0	0	0	0	1	0	0	0	0	0	4	0	1	0	0	1
mmu-miR-7647-5p	0	0	0	0	0	0	10	0	0	0	0	11	0	0	2	6	1	4
mmu-miR-7648-3p	0	37	34	0	17	5	6	50	38	0	18	18	12	6	11	7	1	14
mmu-miR-7648-5p	19	103	176	197	87	43	81	83	70	91	38	76	62	36	47	28	69	42
mmu-miR-7649-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
mmu-miR-7649-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7650-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7650-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3
mmu-miR-7651-3p	1	0	0	0	0	2	6	0	0	0	1	2	4	4	5	2	2	5
mmu-miR-7651-5p	0	0	0	0	0	26	6	0	0	0	0	0	10	28	7	7	2	9
mmu-miR-7652-3p	0	0	0	39	5	0	0	0	0	0	0	0	3	0	0	6	0	1
mmu-miR-7652-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0
mmu-miR-7653-3p	0	0	0	0	0	0	8	10	0	0	0	0	1	7	6	3	9	12
mmu-miR-7653-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	13	2	2
mmu-miR-7654-3p	0	15	1	0	10	6	8	15	0	15	0	21	5	27	0	1	14	8
mmu-miR-7654-5p	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	2
mmu-miR-7655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7655-5p	0	0	0	0	2	0	5	0	0	0	0	0	0	0	2	0	0	0
mmu-miR-7656-3p	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1
mmu-miR-7656-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7657-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7657-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7658-3p	0	0	0	0	7	0	3	0	0	0	0	0	0	0	4	3	1	3
mmu-miR-7658-5p	0	0	1	0	0	0	16	0	0	0	0	0	3	2	6	2	7	2
mmu-miR-7659-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7659-5p	0	10	0	0	0	7	10	0	0	0	0	3	0	6	6	0	1	5
mmu-miR-7660-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0
mmu-miR-7660-5p	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-7661-3p	14	0	0	0	0	0	5	0	0	0	0	0	0	3	5	4	0	1
mmu-miR-7661-5p	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
mmu-miR-7662-3p	0	0	0	0	0	0	7	0	0	0	0	0	2	1	4	0	3	2
mmu-miR-7662-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-7663-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	1
mmu-miR-7663-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1
mmu-miR-7664-3p	0	0	0	0	9	0	2	0	0	0	0	0	0	2	0	2	1	1
mmu-miR-7664-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
mmu-miR-7665-3p	0	0	0	1	11	4	4	0	0	0	0	0	2	2	3	2	2	0
mmu-miR-7665-5p	0	0	0	0	0	22	4	0	0	0	0	0	5	1	5	5	7	0
mmu-miR-7666-3p	0	0	0	0	0	0	0	0	0	21	0	0	0	0	3	3	0	5
mmu-miR-7666-5p	9	0	0	50	0	0	0	16	0	0	13	16	0	1	2	15	0	7
mmu-miR-7667-3p	0	0	0	0	4	0	0	33	0	0	0	0	0	0	0	0	5	0
mmu-miR-7667-5p	0	8	0	0	1	0	8	0	0	0	0	0	10	10	11	5	0	0
mmu-miR-7668-3p	0	0	0	0	9	0	5	0	0	0	0	0	3	0	4	0	13	1
mmu-miR-7668-5p	0	0	69	0	5	0	0	1	0	0	0	11	0	3	7	5	5	2
mmu-miR-7669-3p	0	0	0	1	8	24	12	0	8	0	0	0	20	13	13	11	6	7
mmu-miR-7669-5p	10	0	68	0	0	0	9	0	13	0	24	7	0	4	6	3	1	5
mmu-miR-767	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	4	0	3
mmu-miR-7670-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-7670-5p	0	0	0	0	0	0	0	0	0	0	0	0	9	0	11	0	0	0
mmu-miR-7671-3p	0	0	25	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
mmu-miR-7671-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
mmu-miR-7672-3p	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0
mmu-miR-7672-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7673-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7673-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
mmu-miR-7674-3p	0	0	0	0	0	0	6	0	0	0	0	6	3	3	0	4	0	4
mmu-miR-7674-5p	1	0	0	0	0	0	0	0	0	0	0	5	2	4	2	4	7	4
mmu-miR-7675-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7675-5p	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7676-3p	1	0	0	1	0	14	1	2	6	2	0	0	1	0	1	5	0	1
mmu-miR-7676-5p	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
mmu-miR-7677-3p	0	0	0	0	1	0	6	0	0	0	0	0	0	7	2	0	0	0
mmu-miR-7677-5p	5	8	37	0	5	0	26	0	0	0	0	0	6	0	13	4	4	11
mmu-miR-7678-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7678-5p	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-7679-3p	0	4	0	0	0	28	17	0	0	0	0	0	0	1	0	0	0	3
mmu-miR-7679-5p	15	0	25	0	0	0	3	1	0	29	0	0	2	4	2	2	5	7
mmu-miR-7680-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7680-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7681-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7681-5p	0	0	0	0	0	7	0	0	0	0	0	0	5	0	5	0	2	2
mmu-miR-7682-3p	0	0	22	0	0	0	0	0	0	0	0	3	5	0	0	0	2	0
mmu-miR-7682-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	6	2	0	0	0
mmu-miR-7683-3p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
mmu-miR-7683-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-7684-3p	0	0	0	0	8	0	6	0	0	17	0	0	1	4	1	0	3	0
mmu-miR-7684-5p	1	0	0	0	7	0	13	34	0	0	0	0	8	15	8	1	4	4
mmu-miR-7685-3p	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
mmu-miR-7685-5p	0	0	0	0	0	0	2	0	37	24	0	0	0	2	3	0	1	1
mmu-miR-7686-3p	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-7686-5p	0	0	0	6	0	0	1	1	0	0	0	0	0	3	7	0	0	0
mmu-miR-7687-3p	0	0	0	0	0	0	0	0	0	0	0	7	10	3	0	0	2	0
mmu-miR-7687-5p	0	0	0	0	6	6	0	0	0	0	0	0	0	8	1	0	5	0
mmu-miR-7688-3p	0	2	5	5	0	1	2	0	4	4	3	0	0	1	0	0	0	0
mmu-miR-7688-5p	0	0	0	0	0	0	4	0	11	13	0	0	0	3	4	0	0	0
mmu-miR-7689-3p	45	63	76	88	92	75	202	44	30	147	77	156	87	152	162	124	141	94
mmu-miR-7689-5p	4	1	0	0	9	0	5	0	0	0	0	7	0	1	0	5	6	2
mmu-miR-770-3p	329	285	682	611	422	950	778	561	721	946	646	523	571	746	1028	636	786	631
mmu-miR-770-5p	237	271	121	100	707	408	980	102	362	408	72	249	634	925	1155	948	832	628
mmu-miR-7a-1-3p	523	264	327	609	1079	594	2063	845	939	1015	917	1176	1432	2375	2308	1997	1456	635
mmu-miR-7a-2-3p	304	218	274	292	1025	782	1127	460	551	948	451	643	1083	1261	1458	1323	909	639
mmu-miR-7a-5p	1812	1413	1690	1564	3935	3284	3564	2073	2817	4215	1873	3031	3200	3530	5358	3927	3931	2921
mmu-miR-7b-3p	0	0	0	0	32	20	67	56	84	0	12	76	56	75	82	53	48	31
mmu-miR-7b-5p	1122	954	973	1084	2385	2052	2251	1160	1400	1604	1024	1619	1872	2353	3147	2165	2535	1697
mmu-miR-802-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
mmu-miR-802-5p	23	8	18	26	20	0	12	0	0	19	0	0	10	30	13	10	1	0
mmu-miR-804	0	11	0	0	0	0	1	0	0	0	0	0	0	0	3	4	1	4
mmu-miR-8090	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
mmu-miR-8091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
mmu-miR-8092	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	4	0	5
mmu-miR-8093	0	0	0	0	0	9	1	30	0	0	0	15	0	1	3	4	0	0
mmu-miR-8094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-8095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
mmu-miR-8096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-8097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mmu-miR-8098	0	0	0	0	0	0	2	0	0	0	0	0	0	5	0	2	4	3
mmu-miR-8099	0	0	0	0	4	0	26	0	0	0	0	12	0	6	0	3	0	9
mmu-miR-8100	0	0	0	0	3	5	1	0	0	0	0	9	4	0	6	5	0	3
mmu-miR-8101	0	22	0	0	0	0	6	0	0	0	0	0	0	8	3	3	0	5
mmu-miR-8102	0	0	0	45	17	0	35	24	36	21	15	12	0	4	4	7	1	13
mmu-miR-8103	0	0	0	0	15	3	11	0	0	26	24	0	5	13	2	14	9	4
mmu-miR-8104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
mmu-miR-8105	0	0	0	0	5	0	28	0	0	0	0	0	0	0	3	0	6	4
mmu-miR-8106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
mmu-miR-8107	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	2	0	0
mmu-miR-8108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
mmu-miR-8109	11	21	0	0	6	15	22	0	65	17	34	8	3	14	26	6	17	7
mmu-miR-8110	1	2	0	0	4	0	2	14	0	0	14	0	9	1	3	9	10	0
mmu-miR-8111	0	0	0	0	0	10	9	0	0	0	0	0	8	4	1	0	0	4
mmu-miR-8112	0	11	0	26	9	27	7	8	15	33	0	16	19	5	16	24	4	9
mmu-miR-8113	0	0	0	0	3	0	2	0	0	0	0	0	0	6	3	8	3	2
mmu-miR-8114	0	0	0	33	21	8	18	36	32	0	0	7	22	26	35	15	26	21
mmu-miR-8115	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0
mmu-miR-8116	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	4	0	7
mmu-miR-8117	0	0	0	0	5	0	29	0	0	22	41	37	4	6	1	7	11	15
